スターバックスライトノートブレンドの3レターは何？,1,LNB,SLN,LNN,SLB
ブレックファーストブレンドの3レターは何？,3,BFB,BFD,BRK,BRB
サイレンブレンドの3レターは何？,2,SLN,SRN,SRB,SLB
ケニアの3レターは何？,1,KEN,KEY,KNA,KEA
パイクプレイスローストの3レターは何？,4,PPR,PRB,EDR,EDB
グアテマラ アンティグアの3レターは何？,2,GAA,GUA,GTA,GUB
エチオピアの3レターは何？,3,ETA,ETO,BNA,BNB
ハウスブレンドの3レターは何？,2,HUS,HOU,HOB,HUB
ディカフェハウスブレンドの3レターは何？,1,DHO,DHU,DCF,DHB
コロンビアの3レターは何？,3,CLO,CLM,CLG,CLB
スマトラの3レターは何？,1,SUM,SUT,SMT,SMB
コモドドラゴンブレンドの3レターは何？,4,KDG,KDB,KDN,KDR
カフェベロナの3レターは何？,4,CFV,CVE,VRN,VER
エスプレッソローストの3レターは何？,2,EPR,ESP,EPB,ESB
ディカフェエスプレッソローストの3レターは何？,3,ESD,DEP,DES,DEB
フェアトレードイタリアンローストの3レターは何？,1,FIT,FIR,FIL,FIB
フレンチローストの3レターは何？,2,FRC,FRE,FCR,FCB
